char_id,char_name,char_lv,char_rank,char_type,atk_dmg,atk_speed,atk_range,atk_addcount,bullet_count,bullet_speed,char_hp,crt_chance,crt_dmg,skill_id1,skill_id2,skill_id3,skill_id4,skill_id5,skill_id6,Info,image_PrefabName,data_AssetName,bullet_PrefabName,projectile_AssetName,hitEffect_AssetName,card_imageName,icon_imageName
11010101,하나,1,1,1,24,0.6,10,3,1,8,300,7.6,1.47,32101,31202,0,0,0,0,,HanaCharacter,hina1,baseBullet,YellowHeartProjectile,YellowHeartHit,FDhana,hanaicon
11020101,하나,2,1,1,30,0.63,10.3,4,1,8,320,9.6,1.54,32101,31202,0,0,0,0,,HanaCharacter,hina2,baseBullet,YellowHeartProjectile,YellowHeartHit,FDhana,hanaicon
11030101,하나,3,1,1,36,0.66,10.6,5,1,8,340,11.3,1.59,32101,31202,0,0,0,0,,HanaCharacter,hina3,baseBullet,YellowHeartProjectile,YellowHeartHit,FDhana,hanaicon
11040101,하나,4,1,1,42,0.69,10.8,6,1,8,360,12.6,1.64,32101,31202,0,0,0,0,,HanaCharacter,hina4,baseBullet,YellowHeartProjectile,YellowHeartHit,FDhana,hanaicon
11050101,하나,5,1,1,48,0.72,11,7,1,8,380,13.6,1.67,32101,31202,0,0,0,0,,HanaCharacter,hina5,baseBullet,YellowHeartProjectile,YellowHeartHit,FDhana,hanaicon
11060101,하나,6,1,1,54,0.75,11.1,8,1,8,400,14.2,1.69,32101,31202,0,0,0,0,,HanaCharacter,hina6,baseBullet,YellowHeartProjectile,YellowHeartHit,FDhana,hanaicon
11070101,하나,7,1,1,60,0.78,11.1,9,1,8,420,14.4,1.7,32101,31202,0,0,0,0,,HanaCharacter,hina7,baseBullet,YellowHeartProjectile,YellowHeartHit,FDhana,hanaicon
11080101,하나,8,1,1,66,0.81,11.2,10,1,8,440,14.6,1.7,32101,31202,0,0,0,0,,HanaCharacter,hina8,baseBullet,YellowHeartProjectile,YellowHeartHit,FDhana,hanaicon
11090101,하나,9,1,1,72,0.84,11.2,11,1,8,460,15,1.72,32101,31202,0,0,0,0,,HanaCharacter,hina9,baseBullet,YellowHeartProjectile,YellowHeartHit,FDhana,hanaicon
11100101,하나,10,1,1,78,0.87,11.4,12,1,8,480,15.9,1.75,32101,31202,0,0,0,0,,HanaCharacter,hina10,baseBullet,YellowHeartProjectile,YellowHeartHit,FDhana,hanaicon
